price,Address,area,Bedrooms,Bathrooms,Balcony,parking,Lift
21000000,"Behind apna bazar., Azad Nagar - Goregaon East, Mumbai - North Mumbai, Maharashtra",1050,2,2,2,1,2
12600000,"Plot. No. 343, Gymkhana Off, Swamy Vivekananda Rd, near Trishul Bunglows, Sindhi Society, Chembur, Mumbai, Chembur East, Mumbai, Maharashtra",925,2,2,1,1,3
9360000,"Mulund West, Mumbai, Mulund West, Mumbai - Central Line, Maharashtra",585,2,2,3,1,2
17500000,"Powai, Mumbai, Powai, Mumbai - Central Line, Maharashtra",1075,2,2,1,1,2
9220000,"Mira Road, Mumbai, Ramdev Park, Mumbai - Mira Road and Beyond, Maharashtra",1160,2,2,4,1,2
15100000,"Jogeshwari West, Mumbai, Amboli, Mumbai - Western Suburbs, Maharashtra",764,2,2,2,1,4
18500000,"Andheri East, Mumbai, Andheri East, Mumbai - Western Suburbs, Maharashtra",667,2,2,1,20,4
19500000,"Powai, Mumbai, Powai lake, Mumbai - Central Line, Maharashtra",1030,2,2,3,1,4
11900000,"Kandivali West, Mumbai, Kandivali West, Mumbai - North Mumbai, Maharashtra",1060,2,2,2,1,3
24400000,"Mulund., Mulund West, Mumbai - Central Line, Maharashtra",980,3,3,2,1,2
29000000,"Mulund West, Mumbai., Mulund West, Mumbai - Central Line, Maharashtra",1670,3,3,2,1,4
28000000,"Lodha New Cuffe Parade, Wadala, Wadala, Mumbai - Harbour Line, Maharashtra",1200,2,2,2,1,7
22500000,"Kanjur marg East, Crompton Greaves, Mumbai - Central Line, Maharashtra",1250,3,3,1,2,6
26500000,"Santacruz East, Mumbai, Santacruz East, Mumbai - Western Suburbs, Maharashtra",1050,2,2,2,1,2
18000000,"Powai, Mumbai, Central Area, Mumbai - Central Line, Maharashtra",998,2,2,2,1,3
31000000,"Vikhroli East, Mumbai, Vikhroli East, Mumbai - Central Line, Maharashtra",1156,2,2,2,1,2
20500000,"marol naka metro station, Andheri East, Mumbai - Western Suburbs, Maharashtra",1350,2,2,2,1,3
50000000,"Parel, Mumbai 400012, Parel, Mumbai - South Mumbai, Maharashtra",1400,3,3,3,2,4
33000000,"Andheri West, Mumbai., Yari Road, Mumbai - Western Suburbs, Maharashtra",1000,2,2,2,1,2
13700000,"Yeswant Nagar, Goregaon West, Goregaon West, Mumbai - North Mumbai, Maharashtra",960,2,2,2,1,7
17500000,"Kandivali East, Mumbai, Thakur Village, Mumbai - North Mumbai, Maharashtra",900,2,2,2,1,2
47000000,"Ruparel Ariana Jerabai Wadia Road Dadar Naigaon Cross Rd opp. LT Parel Mumbai Maharashtra 400031, Parel, Mumbai - South Mumbai, Maharashtra",1900,3,3,2,1,5
